Wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303
221.749,4,-37,-34,-21,-34,-21,-33,-19,-42,-50,-50,-36,-35,-34,-25,-38,-35,-41,-20,-20,-37,-23,-30,-25,-28,-36,-40,-32,-39,-40,-25,-37,-31,-21,-25,-29,-24,-19,-30,-42,-23,-64,-33,-22,-62,-41,-27,-37,-48,-11,-42,-36,-15,-28,-42,-28,-32,-15,-41,-37,-32,-32,-62,-25,-44,-24,-19,-44,-33,-42,6,-39,-35,-37,-34,-56,-13,-24,-20,-17,-21,-39,-31,-13,-19,-22,-15,-43,-36,-32,-34,-18,-39,-29,-42,-51,-41,-17,-41,-21,-21,-31,-36,-41,-50,-57,-29,-40,-34,-19,-33,-53,-38,-37,-24,-51,-32,-30,-40,-27,-46,-37,-21,-54,-31,-37,-33,-9,-54,-15,-32,-26,-34,-33,-14,-38,-10,-38,-32,-33,-32,-34,-35,1,-30,-30,-49,-4,-28,-44,2,-36,-27,-24,-6,-34,-31,-32,-36,-16,-28,-26,-36,-41,-32,-31,-37,-23,-30,-16,0,-29,-24,-53,-36,-31,-30,-28,-29,-43,-30,-42,-13,-33,-38,18,-23,-36,-39,-22,-14,-47,-37,-44,-19,-43,-8,-31,-21,-35,-50,-34,-26,-15,-29,-29,-42,-8,-34,-44,-35,-25,-44,-30,-43,-47,-53,-50,-30,-43,-50,-12,-34,-35,-28,-30,-30,-50,-37,-13,-20,-25,-29,-44,-33,-38,-45,-37,-6,-12,-36,-25,-22,-28,-44,-32,-44,-49,-18,-53,-19,-15,-24,-23,-17,-23,-33,-24,-44,-33,-44,-34,-42,-52,-20,-15,-53,-34,-49,-54,-37,-17,-36,-42,-27,-41,-43,-38,-30,-52,-32,-15,-48,-39,-40,-40,-37,-25,-49,-32,-25,-49,-23,-42,-43,-21,-23,-21,-34,-51,-33,-29,-35
222.55,-33,-70,-100,-67,-98,-55,-69,-57,-85,-54,-57,-82,-43,-64,-72,-63,-70,-71,-58,-58,-81,-75,-74,-63,-59,-45,-79,-57,-68,-86,-82,-89,-67,-69,-77,-75,-43,-58,-67,-81,-88,-89,-60,-96,-64,-63,-84,-62,-82,-82,-78,-77,-65,-53,-81,-75,-38,-83,-69,-79,-70,-63,-77,-70,-66,-61,-74,-79,-74,-63,-69,-60,-71,-86,-62,-57,-77,-63,-81,-84,-61,-68,-57,-69,-84,-71,-66,-76,-72,-72,-61,-88,-56,-73,-53,-67,-67,-93,-64,-63,-80,-64,-84,-75,-79,-73,-64,-76,-88,-54,-93,-90,-67,-83,-86,-86,-73,-55,-92,-63,-89,-50,-65,-73,-92,-74,-47,-66,-71,-50,-68,-70,-90,-79,-62,-87,-75,-61,-75,-78,-54,-75,-77,-56,-82,-70,-55,-64,-69,-59,-53,-81,-77,-86,-65,-77,-88,-87,-82,-71,-75,-60,-71,-65,-79,-73,-75,-66,-71,-50,-66,-66,-66,-67,-69,-78,-70,-80,-72,-72,-62,-60,-82,-70,-71,-72,-120,-80,-77,-68,-64,-65,-72,-69,-68,-70,-79,-90,-69,-89,-55,-74,-61,-81,-81,-71,-67,-85,-88,-77,-72,-69,-83,-66,-87,-89,-77,-77,-72,-83,-53,-85,-74,-68,-94,-76,-78,-73,-67,-70,-82,-83,-87,-81,-67,-80,-74,-71,-82,-77,-63,-82,-70,-76,-80,-77,-73,-74,-113,-81,-90,-80,-72,-89,-58,-82,-66,-64,-93,-64,-66,-77,-91,-90,-77,-90,-73,-66,-62,-67,-61,-72,-63,-69,-44,-77,-34,-86,-94,-87,-67,-57,-72,-80,-81,-61,-76,-61,-73,-76,-76,-71,-63,-65,-77,-80,-79,-97,-74,-66,-91,-63,-59
223.352,12,-6,16,-23,6,-16,21,3,4,-17,-18,-1,-6,4,-6,-28,-2,-1,3,-11,2,14,13,-9,-26,-17,28,-11,-7,-7,12,-8,12,18,4,-10,11,7,18,-14,-8,-4,-13,-6,15,-16,-14,-9,24,-5,0,1,9,-18,-2,-2,-14,-8,-3,19,-14,-34,47,-15,5,-1,-6,17,-6,-1,5,-3,-9,3,-1,0,6,8,-21,-2,-23,-13,-30,-11,-11,-16,0,2,0,-4,-8,1,-6,-16,-24,-8,12,-1,-16,6,-9,-4,2,18,-30,-4,-8,-14,-4,7,-12,-16,5,-7,-14,10,1,-2,-11,-5,-18,15,-17,3,-26,-1,-17,-16,-9,8,-5,-9,-8,2,-3,8,2,2,-1,10,-3,18,-3,-13,2,-2,-1,-3,4,-9,-8,7,44,7,6,20,-25,-14,7,-13,-6,18,-8,4,0,-27,7,29,-13,-10,10,-14,10,-7,3,5,0,1,-2,-4,20,-12,-16,-14,3,-32,-14,7,-10,8,6,-11,5,-22,-12,3,-4,-1,-1,-8,9,-2,9,-22,-5,-18,-2,-19,5,-6,-13,-9,-15,5,-14,7,-5,-14,-13,15,-45,-12,-6,0,-26,-14,-14,-7,-15,-5,-1,13,10,10,-18,-6,4,-16,1,0,-9,8,-7,-13,-1,-20,-6,-19,-6,-8,-27,-14,5,-24,3,-21,-14,2,-6,-3,-5,-5,-16,-14,9,-19,3,-1,8,-22,-19,11,-18,-13,-21,-20,16,-23,-19,0,3,-3,-21,-4,-7,-9,-19,-23,-15,2,-10,-19,-11,9,-9,-16,-16,-13,-21,-18,-1,-11,5
224.153,20,0,14,-18,-16,6,-18,1,16,3,33,-8,-4,-11,6,9,-6,19,2,-16,-2,1,-13,12,-3,-11,-27,7,-18,1,12,-5,-15,-17,-11,-4,-9,-28,-31,-4,1,-9,-38,3,-31,8,-18,4,-30,-8,1,-15,-11,0,-12,-12,3,4,2,-17,8,-4,2,14,2,-7,4,6,17,-18,9,2,9,-17,-2,0,-13,-14,24,9,6,14,2,-15,-13,0,5,-7,1,-6,24,-9,-11,-4,13,6,-11,2,-21,-7,-1,22,-25,-24,-14,7,4,-1,-21,-25,-1,7,13,1,-7,33,-6,-7,-11,6,-31,-4,12,-6,-17,-4,2,-3,-5,4,0,6,8,0,-16,-7,-1,4,-2,-8,13,-7,14,2,-15,-9,20,-20,-10,-12,-6,-11,7,25,17,-13,-7,7,-3,-7,-3,0,-9,-3,-11,3,-12,7,-11,-1,-10,13,-6,3,-21,-24,-2,-15,-1,-10,12,-16,12,-17,3,-2,-4,-9,49,-6,-14,-12,-6,2,46,-22,2,3,1,5,-7,11,-3,-17,-8,-24,-3,-12,-12,-20,-4,6,-24,-8,-4,-23,22,-15,-16,-5,-22,12,6,-2,-2,-8,-24,-26,0,-18,-6,-3,-19,2,-12,-24,-2,-5,0,6,-9,3,-20,-18,-19,39,-6,-14,-22,4,-24,8,10,-11,-11,15,-20,-10,-20,5,-20,6,-16,-26,-13,-12,6,-9,-3,-2,-4,-13,-25,-4,-7,-5,1,-6,-10,-11,-3,-17,-14,-4,-1,0,-18,-7,2,-30,-23,-6,-34,6,10,1,-9,-14,-22,-27,-13,-5,6
224.954,11,-2,-23,-11,-23,-30,-42,-7,-17,-13,-7,38,-11,-18,-12,-18,-1,-16,-17,-22,-9,-3,-22,-17,-7,6,-29,-11,-10,-16,4,-9,-2,-6,-6,-7,-25,-14,-10,-9,-19,-19,-18,-9,-8,-24,19,-4,2,-35,-21,-8,-5,-17,-35,-2,-22,-6,-25,-21,-28,-26,-37,-17,-31,-3,16,-10,-3,-21,-9,-12,-22,-14,-11,-14,-17,-15,-1,-40,-15,-11,-23,-28,-22,-10,-12,-5,-20,-22,2,-1,-11,-2,-10,-29,1,26,-8,-9,-20,-19,27,-16,-15,-9,-17,-21,2,-8,-22,-14,-10,-37,-25,-5,-14,-2,-24,-42,-8,-16,-7,-21,0,-19,-9,-11,-12,-10,-22,-13,-6,-39,-3,-9,-15,-14,-21,-5,-11,-3,-16,-5,-36,16,-9,-7,-10,-4,0,-35,-17,-27,-41,-8,-13,-14,-8,-25,-32,-21,-17,-33,-26,-48,-26,-21,0,-27,-27,-3,-3,-13,-5,-2,-29,-19,-24,-10,1,-3,19,-22,-17,-25,-29,4,-17,-27,-25,-31,-25,-10,-6,-4,8,-21,-37,7,-11,-9,-7,-20,-23,-12,-6,-17,-23,-14,9,-17,-7,-27,-19,-19,-18,-14,-17,-16,-14,-22,-7,-18,-47,-25,-18,-34,-11,-22,2,-16,-16,2,-14,-12,-26,-31,-28,-37,-24,-6,0,-28,-19,-24,-21,-17,-12,-21,-36,-13,-21,-12,-17,-25,-44,-17,-31,-6,-33,-25,-17,-40,3,-15,-24,-10,-17,-28,-19,-24,-17,-8,-15,-20,-32,-12,-32,-29,-2,-37,-29,6,-13,-46,-3,-22,-27,-16,-14,-27,-2,-17,-22,-3,-37,0,-5,-23,1,-7,-3
225.755,4,-38,-25,-4,-29,-22,-6,-39,-31,-31,-29,-20,-53,-35,-4,-37,-25,-40,-36,4,-28,-21,-1,-26,-40,-22,-24,-12,-13,-28,-28,-24,-43,-14,-36,-32,-24,-43,-23,-33,-21,-42,-30,-29,-35,-2,-21,-28,-8,-31,1,-6,-21,-24,-21,-36,-30,-17,-30,-38,-16,-22,-15,-34,-2,-12,-15,-46,-28,-31,-33,-41,-41,-14,-29,-30,-20,-36,-14,-30,-28,-25,-31,-28,-35,13,-21,-7,-12,-26,-27,-25,-57,-20,-17,-7,-26,-16,-32,-34,-28,-51,-2,-16,-49,4,-30,-18,-31,-23,-16,-16,-17,-42,-40,-15,-28,-35,4,-21,-15,-18,-34,-39,-33,-16,-26,-12,-27,-37,-26,-31,-13,-26,-37,-21,-19,-21,-12,-14,-28,-9,-19,-29,-13,-11,-28,-12,-14,2,-13,-28,-41,-18,5,-25,-27,-24,-32,-16,-16,-17,-26,-30,-30,-23,-30,-19,-33,-30,-18,-16,-14,-26,-20,-35,-39,-28,-10,-21,-9,-25,-24,-20,-27,-17,-5,-8,-17,-23,-19,-23,-38,-44,-17,-19,-34,-39,-26,-13,-45,-9,-25,-21,-30,-20,-29,-36,-7,-24,-17,-28,-40,-27,-37,-27,-8,-15,-31,-25,-15,-14,-31,-31,-22,1,-39,-27,-40,-24,-20,-24,-30,-24,-22,-23,-8,-24,-23,-12,-14,-28,-23,-22,-38,-38,-14,0,-15,-26,-21,-25,10,-27,-18,-37,-20,-12,-32,-14,-24,-35,-35,-20,-28,-17,-32,-45,-18,-15,-26,-22,-36,-47,-39,-30,-31,-35,-33,-26,-24,-35,-34,-17,-46,-28,-36,-50,-32,-38,-30,-22,-37,-33,1,-24,-33,-38,-21,-27,-40,-38,-31
226.556,-17,-39,-56,-44,-39,-34,-31,-51,-43,-37,-49,-45,-26,-34,-48,-46,-45,-42,-45,-53,-45,-50,-67,-38,-58,-33,-32,-37,-64,-59,-45,-57,-44,-47,-47,-38,-44,-43,-62,-33,-38,-53,-48,-66,-46,-40,-54,-45,-29,-49,-47,-41,-31,-63,-35,-60,-59,-56,-49,-38,-51,-42,-41,-53,-39,-51,-45,-32,-59,-42,-39,-46,-48,-31,-43,-53,-53,-38,-41,-46,-29,-42,-35,-41,-50,-20,-41,-40,-42,-52,-27,-44,-50,-41,-37,-52,-38,-39,-38,-20,-50,-30,-50,-44,-50,-39,-40,-40,-36,-41,-49,-31,-54,-34,-59,-43,-33,-50,-70,-44,-47,-51,-37,-59,-48,-75,-58,-51,-38,-33,-36,-33,-45,-46,-51,-46,-54,-41,-30,-19,-63,-18,-47,-28,-47,-63,-46,-24,-39,-50,-47,-31,-41,-47,-39,-43,-40,-48,-41,-30,-46,-22,-34,-35,-38,-43,-52,-55,-54,-45,-35,-37,-25,-38,-47,-31,-67,-46,-70,-34,-31,-32,-57,-59,-12,-64,-58,-46,-55,-54,-34,-47,-60,-47,-38,-55,-50,-33,-73,-25,-64,-29,-49,-39,-47,-30,-30,-33,-52,-37,-48,-47,-58,-69,-38,-33,-49,-39,-64,-44,-35,-57,-65,-52,-43,-48,-55,-33,-62,-47,-53,-34,-40,-65,-72,-40,-65,-30,-49,-29,-38,-79,-59,-48,-42,-57,-59,-57,-67,-49,-35,-24,-56,-49,-45,-63,-35,-26,-49,-50,-33,-35,-74,-35,-47,-51,-47,-61,-51,-42,-37,-60,-46,-55,-46,-57,-33,-51,-33,-32,-62,-53,-38,-46,-37,-53,-56,-49,-53,-44,-48,-52,-54,-45,-19,-54,-48,-51,-47,-55,-48,-56,-42
227.358,-2,-45,-26,-11,-23,-26,-73,-28,-48,-40,-25,-40,-19,-28,-29,-38,-35,-46,-14,-45,-27,-27,-39,-36,-47,-30,-30,-49,-43,-21,-32,-32,-30,-37,-44,-19,-28,-38,-35,-23,-38,-40,-18,-41,-42,-40,-39,-66,-48,-56,-40,-35,-43,-25,-29,-19,-23,-20,-47,-46,-27,-47,-56,-27,-41,-26,-41,-39,-37,-30,-45,-55,-34,-48,-46,-36,-35,-44,-40,-29,-45,-40,-45,-81,-43,-42,-44,-33,-22,-28,-50,-33,-29,-16,-40,-42,-44,-48,-50,-41,-34,-36,-17,-31,-63,-52,-50,-67,-50,-46,-38,-34,-27,-35,-49,-35,-55,-45,-41,-32,-45,-38,-60,-28,-41,-40,-42,-30,-52,-50,-46,-32,-52,-29,-17,-38,-59,-57,-40,-33,-39,-43,-21,-12,-35,-35,-32,-21,-36,-18,-24,-32,-28,-30,-37,-26,-46,-25,-50,-34,-33,-17,-22,-44,-22,-31,-14,-35,-44,-37,-43,-35,-35,-57,-58,-29,-36,-35,-27,-26,-50,-24,-34,-23,-8,-58,-39,-50,-47,-48,-27,-53,-49,-45,-22,-26,-36,-44,-56,-14,-45,-53,-31,-49,-56,-49,-35,-33,-41,-65,-38,-44,-49,-31,-39,-44,-40,-31,-34,-60,-56,-46,-53,-48,-23,-31,-23,-37,-25,-34,-34,-43,-41,-25,-35,-77,-24,-42,-41,-42,-48,-44,-39,-42,-42,-60,-65,-23,-55,-44,-39,-43,-43,-36,-32,-52,-55,-35,-29,-37,-42,-34,-30,-23,-37,-37,-52,-58,-24,-19,-23,-26,-53,-38,-22,-48,-40,-45,-55,-36,-42,-53,-52,-48,-33,-56,-31,-51,-37,-55,-23,-43,-33,-75,-54,-42,-46,-32,-28,-43,-28,-41,-41
228.159,20,-10,-47,-25,-10,-13,-5,1,-12,-36,-27,-2,-2,-39,-33,-21,-13,-24,-17,-12,-19,-19,-16,-26,-31,-27,-23,-10,-21,-17,-6,-32,-31,-26,-21,-32,-22,-28,-33,-18,-25,-36,-13,-34,-23,-10,-31,18,-27,-30,5,-23,-25,-26,-18,-18,-50,-16,-29,-16,-14,-22,-11,-13,-49,-21,-24,-11,-25,-15,-31,-33,-19,-28,-3,-8,-8,-25,-16,-29,-27,-15,-17,-17,-34,-30,-17,-17,-19,-29,-20,-12,-19,-4,-23,-69,-29,-29,-26,-17,-54,-17,-30,-32,-27,-32,-34,-4,8,-44,-18,-20,-13,-23,-21,-25,-23,-33,-9,-7,-29,-28,-8,-31,-8,-28,-29,-17,-16,-26,-8,-55,-30,-12,-26,-31,-4,-26,-21,-16,-17,3,-7,-17,-11,-16,-4,0,-13,-6,-19,-17,-16,-1,-17,-18,-29,-20,-19,-15,-27,-34,-22,-9,-9,-4,-40,-26,-17,-2,-19,-7,-33,-22,-20,-8,-35,-21,-14,-37,-14,-26,-36,-14,-32,-17,30,-10,-9,-35,-11,-16,-25,-23,7,-25,-37,-28,-27,5,-15,-4,-15,-18,-10,-30,-25,-28,-38,-38,-6,-31,-20,-32,-36,-23,-7,-27,-14,-22,-37,-26,-23,-31,-25,-22,-22,-33,-10,-31,-7,-17,-29,-11,-28,-22,-27,-32,-34,-37,-12,-52,-28,-45,-21,-26,-7,-27,-19,-20,-8,-18,-13,-29,-35,-44,26,-9,-40,-29,-28,-17,-28,-19,-26,-32,-5,-18,-21,-11,-8,-56,-28,-18,-37,-48,-19,-65,-45,-41,-21,-20,-47,-30,-14,-32,-37,-21,-11,-3,-39,-11,-19,-33,-13,-29,-20,-11,-29,-29,-26,-26,-23
228.96,-6,7,-3,-1,-35,-19,11,-27,-2,-16,-19,-33,-27,-11,-24,9,-34,-22,-20,-31,-28,-19,-11,-34,-23,-25,-30,-29,-31,-24,-16,-34,-1,-3,-23,-17,-28,5,-25,-14,-33,-13,-13,-14,-16,-8,-24,-10,-31,-17,-20,-36,-20,-24,-25,-41,-31,-19,-24,0,-24,-29,-6,-24,-15,-23,-26,-25,-19,-16,-30,-22,-45,1,-15,-27,-32,-37,-52,-28,-19,-33,17,-30,-15,-29,-12,-22,-32,-3,-27,-22,-25,-5,-1,-34,-23,-17,-20,-30,-24,-37,-12,-22,-19,-12,-28,-16,-27,-26,-35,-13,-15,-30,-24,-10,-37,-17,-42,-23,-2,-18,-23,-24,10,-39,-18,-19,-24,-41,-25,-28,-35,-11,-9,-20,-7,-9,-34,-42,-9,1,-10,-20,-12,-18,4,-1,-3,-26,8,-27,-46,-19,-12,-24,22,-13,-18,2,-14,-26,-12,-22,-11,-28,-5,-18,-24,-7,-43,-11,-25,-28,-8,-7,-26,-11,-30,-15,-21,-7,-24,-13,-30,-22,-48,-34,-32,-31,-16,-1,-26,-51,-23,-12,0,-12,-10,-14,-9,-28,-11,-24,-25,-20,-23,0,-39,-29,-15,-42,-27,-19,-7,-25,-25,1,-38,-38,-37,-23,-27,-31,-9,-34,-9,-27,-17,-21,-21,-32,-18,-25,-21,-20,-31,-33,-20,-24,-22,-25,-20,-18,-27,-14,-38,-26,-36,-28,-18,-34,-16,-28,-34,-20,-20,-14,-45,-19,-64,-40,-14,-34,-34,-27,-30,-13,-2,-24,-17,-6,-22,-24,-9,-16,-30,-38,-26,-46,-23,-28,-40,-45,-20,-31,-5,-25,-41,-24,-19,-1,-3,-14,-19,-17,-38,-26,-28,-33,-25,-25,-15
229.761,-2,-15,-58,-40,-40,-53,-25,-61,-45,-41,-32,-42,-62,-47,-54,-40,-46,-30,-30,-50,-44,-36,-50,-37,-36,-35,-52,-28,-38,-28,-32,-30,-35,-37,-40,-40,-38,-43,-77,-48,-36,-47,-35,-30,-45,-29,-54,-50,-50,-33,-37,-25,-44,-26,-30,-62,-23,-44,-65,-37,-34,-31,-41,-39,-37,-38,-43,-29,-48,-31,-32,-30,-26,-45,-34,-23,-42,-42,-47,-21,-36,-26,-43,-48,-63,-43,-32,-35,-36,-63,-3,-20,-46,-54,-50,-35,-41,-30,-38,-43,-34,-35,-29,-34,-38,-38,-31,-33,-29,-43,-46,-28,-56,-35,-44,-27,-22,-55,-48,-40,-41,-35,-23,-47,-40,-50,-41,-22,-35,-26,-37,-53,-30,-39,-42,-30,-53,-26,-42,-27,-34,-32,-35,-44,-36,-23,-40,-26,-19,-31,-32,-28,-32,-33,-41,-42,-33,-38,-12,-20,-24,-38,-29,-29,-33,-31,-45,-49,-58,-51,-23,-16,-41,-31,-46,-45,-45,-40,-33,-60,-40,-10,-40,-56,-23,-50,-34,-38,-40,-47,-63,-29,-61,-42,-32,-45,-39,-69,-37,-52,-28,-50,-54,-34,-31,6,-58,-34,-33,-26,-50,-36,-44,-37,-36,-47,-36,-39,-45,-34,-45,-65,-43,-45,-39,-31,-59,-65,-60,-28,-44,-38,-43,-64,-57,-33,-48,-42,-49,-50,-53,-28,-47,-53,-33,-39,-29,-62,-45,-31,-34,-42,-39,-55,-55,-32,-44,-24,-42,-33,-36,-41,-29,-46,-38,-66,-36,-38,-49,-41,-39,-47,-38,-51,-29,-51,-27,-59,-38,-23,-36,-35,-61,-56,-63,-40,-64,-39,-44,-45,-51,-49,-62,-50,-43,-22,-36,-31,-40,-65,-34,-41,-49
230.562,-36,-11,-20,-34,-27,-57,-43,-27,-31,-34,-36,-18,-53,-17,-48,-31,-32,-39,-76,-20,-36,-47,-49,-25,-55,-42,-12,-32,-30,-49,-24,-42,-28,-49,-59,-39,-34,-35,-47,-44,-37,-12,-34,-21,-5,-26,-37,-32,-42,-24,-23,-22,-35,-41,-35,-30,-31,-36,-44,-53,-37,-37,-48,-42,-43,-25,-34,-22,-43,-31,-33,-25,-24,-41,-65,-32,-52,-31,-32,-27,-36,-15,-19,-44,3,-38,-20,-18,-55,-54,-29,-38,-41,-24,-8,-22,-27,-53,-41,-26,-51,-41,-29,-52,-45,-25,-28,-48,-12,-38,-36,-43,-35,-31,-29,-21,-50,-33,-39,-48,-57,-41,-14,-47,-22,-55,-45,-25,-37,-36,-46,-50,-40,-43,-41,-51,-15,-28,-25,-43,-13,-25,-55,-46,-17,-51,-41,-34,-43,-11,-29,-33,-18,-31,-25,-23,-18,-36,-16,-31,-25,-33,-35,-23,-37,-45,-48,-43,-19,-54,-13,-36,-30,-19,-61,-11,-15,-37,-19,-45,-27,-36,-36,-41,-12,-10,-33,-19,-33,-55,-23,-41,-18,-23,-57,-25,-35,-48,-42,-44,-30,-52,-32,-41,-37,-11,-37,-22,-34,-54,-30,-31,-35,-32,-41,-32,-56,-49,-16,-30,-27,-54,-34,-30,-23,-34,-43,-46,-25,-47,-38,-31,-20,-72,-20,-42,-44,-11,-44,-28,-27,-31,-43,-30,-41,-46,-39,-40,-35,-40,-53,-52,-46,-52,-34,-41,-33,-35,-58,-27,-56,-37,-41,-31,-53,-69,-53,-46,-33,-35,-26,-32,-49,-43,-37,-62,-48,-49,-32,-46,-57,-48,-37,-39,-32,-36,-48,-42,-44,-30,-22,-46,-39,-40,-29,-37,-40,-39,-31,-29,-52,-22,-43
231.363,-29,-9,-35,-12,20,-23,-25,-22,-16,-22,-25,-24,-12,-18,-19,-27,-24,-19,-33,-45,24,-26,-18,-28,-26,-11,-19,-17,-26,-19,-10,-18,-27,-25,-22,-28,-38,-21,-24,-22,-39,-36,-27,-19,-13,-14,-46,-13,-14,-28,-10,-30,-22,-5,-17,-14,-26,-28,-12,-23,-34,-28,-38,-26,-1,-51,-27,0,-13,-27,-31,-34,-33,-28,-31,-38,-24,-22,-10,-19,-23,-38,-47,-31,-40,5,-40,-25,-33,-26,-23,-31,-35,-36,-18,-45,-56,-20,-19,-31,-27,-12,-15,-46,-24,-26,-21,-20,-35,-31,-39,-11,-36,-26,-31,-26,-34,-31,-33,-26,-27,-9,-44,-18,-43,-16,-23,-17,-10,-33,-33,-32,-34,-39,-25,-47,-16,-39,-30,-23,-6,-8,-19,-30,-6,-16,-30,11,-32,-35,-18,-30,-22,-33,-19,-73,-21,-23,-49,-33,-5,-29,-19,-30,-29,-28,-95,-28,-22,-17,-10,-22,-36,-25,-49,-29,-10,-34,-26,-37,-21,-32,-29,24,-10,-31,-28,-7,-38,2,-14,-49,-29,-19,-15,-35,-28,-62,-30,-23,-29,-39,-22,-9,-22,-61,-36,-21,-17,-9,-7,-26,-41,-14,-26,-38,-8,-24,-45,-22,-52,-33,-17,-50,-34,-32,-10,-27,-41,-17,-23,-8,-43,-27,-20,17,-42,-25,-35,-31,-26,10,-24,-21,-11,-28,-43,-10,-32,-22,-46,-48,-10,-24,-14,-38,-42,-58,-43,-43,-35,-43,-29,-20,-15,-23,-46,-59,-14,-30,-28,-37,-29,-15,-41,-30,-28,-27,-34,-68,-19,-25,-50,-10,-21,-32,-28,10,-23,-34,-34,-30,-31,-50,-19,-41,-39,-22,-8,-20,-50,-33,-19
232.164,-12,-21,-31,-30,-31,-52,-38,-37,-42,-24,-31,-29,-29,-35,-32,-38,-44,-24,-28,-30,-31,-23,-26,-55,-47,-51,-23,-53,-50,-14,-23,-28,-1,-21,-22,-38,-41,-34,-52,-13,-48,-26,-4,-41,-1,-41,-39,-27,-49,-39,-37,-49,-32,-45,-33,-41,-27,-44,-16,-12,-73,-57,-31,-38,-22,-32,-42,-23,-34,-47,-33,-30,-33,-32,-11,-38,-18,-48,-14,-20,-33,-33,-32,-38,-17,-25,10,-38,-33,-40,-34,-42,-59,-34,-31,-38,-48,-30,-31,-18,-23,-32,-27,-18,-47,-38,-35,-34,-38,-48,-27,-34,-56,-17,-34,-38,-39,-36,-38,-19,-42,-26,-18,-33,-38,-36,-34,-30,-18,-33,-26,-49,-21,-34,-25,-39,-38,-21,-36,4,-14,-32,-49,-42,27,-16,-14,-34,-34,-25,-39,-30,-14,-40,-38,-19,-42,-34,-45,-43,-55,-25,-49,-36,-22,-30,-32,-51,-28,-37,-21,-27,-16,-27,-12,-26,-23,-26,-33,-18,-33,-47,-26,-37,-40,-36,-27,-55,-36,-25,-23,-20,-42,-45,-34,-42,-22,-26,-21,-31,-21,-34,-43,-43,-51,-35,-34,-38,-49,-17,-33,-53,-50,-30,-28,-49,-29,-23,-31,-23,-26,-37,-39,-43,-30,-57,-45,-46,-39,-49,-51,-56,-40,-21,-46,-39,-41,-42,-33,-42,-26,-50,-44,-38,-30,-29,-27,-23,-55,-26,-26,-63,-48,-26,-53,-14,-47,-26,-44,-28,-36,-38,-36,-49,-21,-36,-30,-41,-58,-57,-46,-30,-40,-31,-20,-40,-31,-46,-56,-32,-46,-42,-45,-21,-45,-38,-30,-36,-35,-27,-43,-31,-55,-16,-60,-32,-30,-41,-34,-26,-37,-29,-35
232.965,3,-1,-14,-45,-10,-10,-15,-8,-17,-4,-14,-27,-4,-18,-12,-34,-17,-13,-10,10,-12,-4,-14,-37,-52,-21,-23,-11,-22,-16,-30,-23,-15,-18,-10,-13,-30,6,-23,-25,-1,-29,-55,-15,-30,-12,-20,-35,-14,-3,-4,-18,-8,-20,-25,-27,-28,-26,-6,-24,-8,-1,-19,-6,-4,-28,13,-25,-10,-22,-23,-1,-17,-32,-14,-4,10,-17,4,-24,-18,-3,-28,-39,-36,-35,-32,-3,-28,-14,-10,-9,-5,-15,-5,-35,-32,-19,-8,-29,-36,-21,-10,-21,-24,8,-6,6,-18,-11,-8,-13,-24,-27,-40,-31,-23,-9,-17,-22,-35,-11,-28,-20,-27,-14,-15,-14,-26,13,-11,-20,-36,-22,-15,-16,-12,-17,-23,-17,-25,-24,3,8,-10,-13,0,-23,-16,-11,-24,6,-25,-16,-4,-28,-29,-33,-13,-25,-17,-11,-10,-35,-28,-34,-3,-15,-2,-4,-26,-14,-15,-50,-18,-24,-25,-22,-29,-26,-25,-44,-38,-19,-37,-23,-12,-25,-16,-6,-14,-29,-29,-22,-32,-34,-28,-4,-25,-21,9,12,-2,-18,-19,-30,-42,-28,-24,-37,-30,-31,-18,-18,8,-11,-37,-32,1,-23,-25,-22,-10,-26,-15,-7,-25,-20,-9,37,-19,-20,7,-37,-35,-14,-16,-29,-28,-30,-23,-27,-18,-23,-12,-41,-15,-33,-14,-6,-9,-23,-18,-20,-23,-10,-12,-27,-11,-20,-32,-24,1,-43,-23,-10,-21,-23,-31,-10,-33,-37,-63,-28,-23,-28,-23,-23,-19,-39,-12,-20,-18,-11,8,-22,-23,-15,-31,-8,-16,-41,-24,-27,-30,-19,-11,-17,-34,-25,-19,-5,-2
